,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
3,6,24,4.00,4.0,7,0,0,10,25,S2,T24,P2382,/players/darren-sproles-sprolda01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T27,P2383,/players/ronald-blair-blairro01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T27,P2383,/players/ronald-blair-blairro01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T27,P2383,/players/ronald-blair-blairro01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2383,/players/ronald-blair-blairro01
0,29,350,12.07,21.9,31,3,--,50,115,S5,T27,P2384,/players/garrett-celek-celekga01
1,21,336,16.00,21.0,61,4,--,33,172,S4,T27,P2384,/players/garrett-celek-celekga01
2,5,90,18.00,6.0,41t,2,--,8,43,S3,T27,P2384,/players/garrett-celek-celekga01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2384,/players/garrett-celek-celekga01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T18,P2386,/players/antone-exum-exuman01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T18,P2386,/players/antone-exum-exuman01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T27,P2386,/players/antone-exum-exuman01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2386,/players/antone-exum-exuman01
0,29,431,14.86,28.7,84t,3,--,68,98,S5,T4,P2387,/players/marquise-goodwin-goodwma02
1,56,962,17.18,60.1,83t,2,--,105,198,S4,T27,P2387,/players/marquise-goodwin-goodwma02
2,23,395,17.17,35.9,67t,4,--,44,126,S3,T27,P2387,/players/marquise-goodwin-goodwma02
3,12,186,15.50,20.7,38t,1,3,21,33,S2,T27,P2387,/players/marquise-goodwin-goodwma02
0,0,0,0.00,0.0,0,0,--,0,0,S5,T17,P2388,/players/earl-mitchell-mitchea01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T27,P2388,/players/earl-mitchell-mitchea01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T27,P2388,/players/earl-mitchell-mitchea01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2388,/players/earl-mitchell-mitchea01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T21,P2390,/players/weston-richburg-richbwe01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T21,P2390,/players/weston-richburg-richbwe01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T27,P2390,/players/weston-richburg-richbwe01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2390,/players/weston-richburg-richbwe01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T27,P2392,/players/joe-staley-stalejo01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T27,P2392,/players/joe-staley-stalejo01
2,1,-5,-5.00,-0.3,-5,0,--,1,5,S3,T27,P2392,/players/joe-staley-stalejo01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2392,/players/joe-staley-stalejo01
0,0,0,0.00,0.0,0,0,--,0,0,S3,T27,P2393,/players/jullian-taylor-tayloju01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T27,P2393,/players/jullian-taylor-tayloju01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T11,P2394,/players/jeremiah-valoaga-valoaje01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T11,P2394,/players/jeremiah-valoaga-valoaje01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T23,P2394,/players/jeremiah-valoaga-valoaje01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T28,P2395,/players/justin-britt-brittju02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T28,P2395,/players/justin-britt-brittju02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T28,P2395,/players/justin-britt-brittju02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2395,/players/justin-britt-brittju02
0,11,187,17.00,26.7,51t,1,--,22,58,S5,T1,P2396,/players/jaron-brown-brownja12
1,31,477,15.39,29.8,52t,4,--,69,91,S4,T1,P2396,/players/jaron-brown-brownja12
2,14,166,11.86,10.4,45,5,--,19,46,S3,T28,P2396,/players/jaron-brown-brownja12
3,16,220,13.75,15.7,48,2,3,28,59,S2,T28,P2396,/players/jaron-brown-brownja12
0,0,0,0.00,0.0,0,0,--,0,0,S5,T8,P2397,/players/josh-gordon-gordojo04
1,18,335,18.61,67.0,54,1,--,42,123,S4,T8,P2397,/players/josh-gordon-gordojo04
2,1,17,17.00,17.0,17t,1,--,3,0,S3,T8,P2397,/players/josh-gordon-gordojo04
3,20,287,14.35,47.8,44,1,6,36,133,S2,T19,P2397,/players/josh-gordon-gordojo04
0,0,0,0.00,0.0,0,0,--,0,0,S5,T23,P2398,/players/branden-jackson-jacksbr05
1,0,0,0.00,0.0,0,0,--,0,0,S4,T23,P2398,/players/branden-jackson-jacksbr05
2,0,0,0.00,0.0,0,0,--,0,0,S3,T28,P2398,/players/branden-jackson-jacksbr05
3,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2398,/players/branden-jackson-jacksbr05
0,0,0,0.00,0.0,0,0,--,0,0,S5,T2,P2399,/players/akeem-king-kingak01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T2,P2399,/players/akeem-king-kingak01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T28,P2399,/players/akeem-king-kingak01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2399,/players/akeem-king-kingak01
0,20,151,7.55,10.1,25,0,--,31,164,S4,T23,P2400,/players/marshawn-lynch-lynchma01
1,15,84,5.60,14.0,17,0,--,20,90,S3,T23,P2400,/players/marshawn-lynch-lynchma01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2400,/players/marshawn-lynch-lynchma01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T28,P2401,/players/jordan-roos-roosjo01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T28,P2401,/players/jordan-roos-roosjo01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2401,/players/jordan-roos-roosjo01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T28,P2402,/players/tyrone-swoopes-swoopty01
1,1,23,23.00,23.0,23,0,--,1,15,S3,T28,P2402,/players/tyrone-swoopes-swoopty01
2,1,5,5.00,1.0,5,0,0,1,7,S2,T28,P2402,/players/tyrone-swoopes-swoopty01
0,26,179,6.88,11.9,19,1,--,35,218,S5,T14,P2403,/players/robert-turbin-turbiro01
1,9,56,6.22,9.3,16,0,--,11,69,S4,T14,P2403,/players/robert-turbin-turbiro01
2,1,3,3.00,1.5,3,0,--,2,3,S3,T14,P2403,/players/robert-turbin-turbiro01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T28,P2403,/players/robert-turbin-turbiro01
0,1,11,11.00,3.7,11,0,0,1,0,S2,T28,P2404,/players/john-ursua-ursuajo01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T24,P2408,/players/beau-allen-allenbe01
