,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
2,23,27,85.2,0-0,8-8,6-7,5-6,4-6,54,44,47,93.6,113,S3,T14,P2513,/players/adam-vinatieri-vinatad01
3,17,25,68.0,0-0,6-7,6-6,3-7,2-5,55,22,28,78.6,73,S2,T14,P2513,/players/adam-vinatieri-vinatad01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T9,P2551,/players/justin-phillips-phillju02
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T3,P2612,/players/kaare-vedvik-vedvika01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T3,P2612,/players/kaare-vedvik-vedvika01
0,17,20,85.0,0-0,4-4,7-7,5-7,1-2,51,25,29,86.2,76,S3,T8,P2632,/players/greg-joseph-josepgr01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T8,P2632,/players/greg-joseph-josepgr01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T11,P2634,/players/ryan-santoso-santory01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T11,P2634,/players/ryan-santoso-santory01
0,18,21,85.7,0-0,4-4,6-6,7-9,1-2,53,33,34,97.1,87,S5,T27,P2645,/players/phil-dawson-dawsoph01
1,32,40,80.0,1-1,7-7,10-14,10-13,4-5,57,23,26,88.5,119,S4,T1,P2645,/players/phil-dawson-dawsoph01
2,5,8,62.5,0-0,2-2,2-2,1-3,0-1,43,15,15,100.0,30,S3,T1,P2645,/players/phil-dawson-dawsoph01
0,5,9,55.6,0-0,3-3,0-0,2-4,0-2,44,5,5,100.0,20,S3,T23,P2652,/players/matthew-mccrane-mccrama01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T23,P2677,/players/giorgio-tavecchio-tavecgi01
1,16,21,76.2,0-0,5-5,5-7,3-5,3-4,53,33,34,97.1,81,S4,T23,P2677,/players/giorgio-tavecchio-tavecgi01
2,5,5,100.0,0-0,1-1,0-0,2-2,2-2,56,8,8,100.0,23,S3,T2,P2677,/players/giorgio-tavecchio-tavecgi01
3,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T2,P2677,/players/giorgio-tavecchio-tavecgi01
0,21,28,75.0,1-1,5-6,6-7,6-8,3-6,60,43,47,91.5,106,S5,T1,P2680,/players/chandler-catanzaro-catanch01
1,25,30,83.3,1-1,6-6,4-4,12-17,2-2,57,29,29,100.0,104,S4,T22,P2680,/players/chandler-catanzaro-catanch01
2,11,15,73.3,0-0,3-3,7-8,0-3,1-1,59,23,27,85.2,56,S3,T30,P2680,/players/chandler-catanzaro-catanch01
3,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T22,P2680,/players/chandler-catanzaro-catanch01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T12,P2733,/players/james-looney-looneja01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T12,P2733,/players/james-looney-looneja01
0,29,35,82.9,1-1,9-9,6-6,10-11,3-8,56,37,39,94.9,124,S5,T23,P2810,/players/sebastian-janikowski-janikse01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T23,P2810,/players/sebastian-janikowski-janikse01
2,22,27,81.5,0-0,2-2,9-11,8-9,3-5,56,48,51,94.1,114,S3,T28,P2810,/players/sebastian-janikowski-janikse01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T32,P2850,/players/rob-kelley-kellero01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T32,P2850,/players/rob-kelley-kellero01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T32,P2850,/players/rob-kelley-kellero01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T26,P2999,/players/drew-kaser-kaserdr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,1,3,33.3,1,S4,T26,P2999,/players/drew-kaser-kaserdr01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T26,P2999,/players/drew-kaser-kaserdr01
0,35,41,85.4,0-0,12-12,12-12,7-11,4-6,55,30,31,96.8,135,S5,T24,P3006,/players/caleb-sturgis-sturgca01
1,3,3,100.0,0-0,0-0,1-1,1-1,1-1,50,1,2,50.0,10,S4,T24,P3006,/players/caleb-sturgis-sturgca01
2,9,13,69.2,0-0,4-4,2-2,3-6,0-1,49,9,15,60.0,36,S3,T26,P3006,/players/caleb-sturgis-sturgca01
0,18,23,78.3,0-0,7-8,7-8,3-4,1-3,54,31,32,96.9,85,S5,T6,P3110,/players/connor-barth-barthco01
1,11,16,68.8,1-1,4-4,0-0,5-9,1-2,54,17,17,100.0,50,S4,T6,P3110,/players/connor-barth-barthco01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T18,P3144,/players/jeff-locke-lockeje01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T11,P3144,/players/jeff-locke-lockeje01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T27,P3144,/players/jeff-locke-lockeje01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T1,P3178,/players/ryan-quigley-quiglry01
